Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
Estadio La Fuensanta,,,ESP,Stadium,,,,,,,,,,Cuenca,Castile-La Mancha,Autonomous Community,"6,700",Spectator Seats,2011,Open Air,,,,
Estadio Las Gaunas,,,ESP,Stadium,,,,,,,,,,Logroño,La Rioja (Spain),Autonomous Community,"16,000",Spectator Seats,2002,Open Air,,Estadio Las Gaunas.JPG,,
Estadio Los Pajaritos,,,ESP,Stadium,,,,,,,,,,Soria,Castile and León,Autonomous Community,"9,025",Spectator Seats,1999,Open Air,,,,
Francisco de la Hera,,,ESP,Stadium,,,,,,,,,,Almendralejo,Extremadura,Autonomous Community,"11,580",Spectator Seats,1996,Open Air,,,,
Gran Canaria,,,ESP,Stadium,,,,,,,,,,Las Palmas de Gran Canaria,Canary Islands,Autonomous Community,"31,250",Spectator Seats,2003,Open Air,,Estadiogc7septiembre2008.jpg,,
Guillermo Amor,,,ESP,Stadium,,,,,,,,,,Benidorm,Valencia,Autonomous Community,"9,000",Spectator Seats,1964,Open Air,,,,
Heliodoro Rodríguez López,,,ESP,Stadium,,,,,,,,,,Santa Cruz de Tenerife,Canary Islands,Autonomous Community,"24,000",Spectator Seats,1925,Open Air,,TenerifeRealSociedad08.jpg,,
Iberostar,,,ESP,Stadium,,,,,,,,,,Palma,Balearic Islands,Autonomous Community,"23,142",Spectator Seats,1999,Open Air,,Panor mica de Son Moix (569234728).jpg,,
Ipurua,,,ESP,Stadium,,,,,,,,,,Eibar,Basque Country,Autonomous Community,"5,250",Spectator Seats,1947,Open Air,,Vista parcial de Ipurua.JPG,,
José Rico Pérez,,,ESP,Stadium,,,,,,,,,,Alicante,Valencia,Autonomous Community,"29,500",Spectator Seats,1974,Open Air,,Estadio Jose Rico Perez.JPG,,
José Zorrilla,,,ESP,Stadium,,,,,,,,,,Valladolid,Castile and León,Autonomous Community,"26,512",Spectator Seats,1982,Open Air,,Trofeo2008.jpg,,
Juan Rojas,,,ESP,Stadium,,,,,,,,,,Almería,Andalusia,Autonomous Community,"12,500",Spectator Seats,1976,Open Air,,,,
La Cartuja,,,ESP,Stadium,,,,,,,,,,Seville,Andalusia,Autonomous Community,"60,000",Spectator Seats,1999,Open Air,,"Estadio Olímpico de La Cartuja, Sevilla.jpg",,
La Condomina,,,ESP,Stadium,,,,,,,,,,Murcia,Murcia,Autonomous Community,"16,800",Spectator Seats,1924,Open Air,,Estadio de La Condomina.jpg,,
La Romareda,,,ESP,Stadium,,,,,,,,,,Zaragoza,Aragon,Autonomous Community,"34,596",Spectator Seats,1957,Open Air,,La Romareda en día de partido.jpg,,
La Rosaleda,,,ESP,Stadium,,,,,,,,,,Málaga,Andalusia,Autonomous Community,"30,044",Spectator Seats,1941,Open Air,,Estado de la Rosaleda (Málaga C.F.).jpg,,
La Victoria,,,ESP,Stadium,,,,,,,,,,Jaén,Andalusia,Autonomous Community,"12,569",Spectator Seats,2001,Open Air,,Nuevo Estadio de la Victoria.jpg,,
Las Llanas,,,ESP,Stadium,,,,,,,,,,Sestao,Basque Country,Autonomous Community,"8,905",Spectator Seats,1923,Open Air,,2013 11 01 Sestao Las Llanas.jpg,,
